ASRSC,SSIC,UNWRC,ASRSA,SSIA,UNWRA,ASRSS,SSIS,UNWRS
2,5,13,14,10,14,10,,10
2,7,22,14,11,16,12,25,14
4,0,30,10,10,21,12,30,9
4,2,30,14,4,15,14,33,12
4,10,30,14,2,17,16,25,14
6,,30,15,11,24,15,15,15
10,4,18,16,4,17,12,33,17
10,11,20,16,8,10,12,23,15
12,2,19,16,15,10,19,21,15
12,8,16,16,4,17,10,29,12
12,0,18,16,,15,15,11,14
14,10,19,17,,16,15,28,10
14,5,20,17,3,14,19,14,14
14,2,18,19,3,10,13,13,14
14,4,8,20,6,17,15,32,10
14,10,14,23,,,11,20,14
4,8,26,18,8,17,18,17,17
12,6,18,21,9,14,,24,16
5,6,29,21,6,13,14,24,9
8,12,16,20,19,17,12,19,9
12,7,21,17,6,17,13,14,20
13,6,19,20,8,14,10,18,27
14,10,20,18,11,18,16,30,28
12,9,18,17,7,17,17,10,25
13,7,26,21,6,17,17,19,24
6,6,18,20,6,17,14,11,26
14,6,13,19,9,17,14,22,27
14,11,19,17,8,11,9,21,18
14,9,18,17,,13,15,11,21
12,6,18,22,11,15,12,18,10
,7,21,21,8,10,15,9,14
13,6,18,17,7,17,10,11,15
12,10,17,18,6,26,13,10,11
12,6,18,17,8,26,,,
14,10,32,14,6,29,,,
10,6,32,12,13,27,,,
8,12,32,21,9,24,,,
8,10,32,16,6,29,,,
10,8,32,16,6,26,,,
14,6,31,18,6,25,,,
10,10,32,12,0,17,,,
6,6,32,13,0,17,,,
10,6,30,14,4,20,,,
6,6,32,15,4,24,,,
12,0,22,13,14,,,,
6,0,19,16,7,13,,,
14,0,23,16,,16,,,
14,0,23,17,,10,,,
12,2,18,20,,15,,,
12,2,24,17,,6,,,
12,0,21,16,7,14,,,
10,0,15,16,13,16,,,
10,5,30,17,12,9,,,
8,7,16,17,10,16,,,
12,7,19,16,14,16,,,
6,0,20,20,10,12,,,
6,6,24,17,10,7,,,
13,0,16,18,,15,,,
10,2,27,12,0,13,,,
10,3,22,16,,16,,,
12,2,20,17,0,18,,,
6,3,24,16,0,12,,,
12,0,16,17,0,14,,,
6,0,18,12,0,24,,,
2,0,21,13,0,19,,,
12,0,22,16,,17,,,
6,0,27,13,0,18,,,
,,,20,0,16,,,
,,,25,0,14,,,
,,,15,0,16,,,
,,,19,8,15,,,
,,,18,0,18,,,
,,,17,10,21,,,
,,,14,0,22,,,
,,,21,0,21,,,
,,,17,0,23,,,
,,,13,0,23,,,
,,,16,0,30,,,
,,,18,15,10,,,
